coin	denomination	year	mint	yearGrouping	mintGrouping	metal	percentage
Liberty Head	Double Eagle	1850	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1850	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1850	New Orleans	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1850	New Orleans	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1851	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1851	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1851	New Orleans	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1851	New Orleans	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1852	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1852	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1852	New Orleans	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1852	New Orleans	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1853	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1853	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1853	New Orleans	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1853	New Orleans	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1854	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1854	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1854	New Orleans	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1854	New Orleans	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1854	San Francisco	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1854	San Francisco	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1855	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1855	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1855	New Orleans	Without Motto on Reverse		Gold	90.00000
