name	name	year	additionalInfo	name	symbol	additionalInfo	title	value
Liberty Head	Double Eagle	1850	Without Motto on Reverse	New Orleans	O		VF-20	1750.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	New Orleans	O		EF-40	3000.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	New Orleans	O		AU-50	5500.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	New Orleans	O		AU-55	8500.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	New Orleans	O		MS-60	32500.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	Philadelphia	P		VF-20	1650.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	Philadelphia	P		EF-40	1800.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	Philadelphia	P		AU-50	2500.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	Philadelphia	P		AU-55	3250.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	Philadelphia	P		MS-60	7250.00
Liberty Head	Double Eagle	1850	Without Motto on Reverse	Philadelphia	P		MS-63	32500.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	New Orleans	O		VF-20	1700.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	New Orleans	O		EF-40	2450.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	New Orleans	O		AU-50	3750.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	New Orleans	O		AU-55	5000.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	New Orleans	O		MS-60	14000.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	New Orleans	O		MS-63	47500.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	Philadelphia	P		AU-55	1655.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	Philadelphia	P		MS-60	2500.00
Liberty Head	Double Eagle	1851	Without Motto on Reverse	Philadelphia	P		MS-63	15000.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	New Orleans	O		VF-20	1700.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	New Orleans	O		EF-40	2500.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	New Orleans	O		AU-50	3500.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	New Orleans	O		AU-55	5000.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	New Orleans	O		MS-60	15500.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	New Orleans	O		MS-63	35000.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	Philadelphia	P		AU-55	1655.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	Philadelphia	P		MS-60	2500.00
Liberty Head	Double Eagle	1852	Without Motto on Reverse	Philadelphia	P		MS-63	12500.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	New Orleans	O		VF-20	1600.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	New Orleans	O		EF-40	1800.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	New Orleans	O		AU-50	3250.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	New Orleans	O		AU-55	5500.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	New Orleans	O		MS-60	22500.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	Philadelphia	P		AU-55	1655.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	Philadelphia	P		MS-60	3000.00
Liberty Head	Double Eagle	1853	Without Motto on Reverse	Philadelphia	P		MS-63	16000.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	New Orleans	O		VF-20	75000.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	New Orleans	O		EF-40	125000.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	New Orleans	O		AU-50	220000.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	New Orleans	O		AU-55	280000.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	New Orleans	O		MS-60	475000.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	Philadelphia	P		AU-55	1700.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	Philadelphia	P		MS-60	6500.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	Philadelphia	P		MS-63	17500.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	San Francisco	S		VF-20	1625.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	San Francisco	S		EF-40	1750.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	San Francisco	S		AU-50	2600.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	San Francisco	S		AU-55	3250.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	San Francisco	S		MS-60	4250.00
Liberty Head	Double Eagle	1854	Without Motto on Reverse	San Francisco	S		MS-63	11000.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	New Orleans	O		VF-20	2750.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	New Orleans	O		EF-40	11000.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	New Orleans	O		AU-50	25000.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	New Orleans	O		AU-55	30000.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	New Orleans	O		MS-60	65000.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		AU-55	1700.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		MS-60	6500.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		MS-63	30000.00
