coin	denomination	year	mint	yearGrouping	mintGrouping	fileName	caption
Indian Head	Quarter Eagle	1909	Philadelphia			thumbnails/UsOurCoin/1909|Indian Head||||N|Y|0|Quarter Eagle||283.95||ebay|2012-07-28||/1-obverse.jpeg	
Indian Head	Quarter Eagle	1909	Philadelphia			thumbnails/UsOurCoin/1909|Indian Head||||N|Y|0|Quarter Eagle||283.95||ebay|2012-07-28||/2-obverse.jpeg	
Indian Head	Quarter Eagle	1909	Philadelphia			thumbnails/UsOurCoin/1909|Indian Head||||N|Y|0|Quarter Eagle||283.95||ebay|2012-07-28||/3-reverse.jpeg	
Indian Head	Quarter Eagle	1909	Philadelphia			thumbnails/UsOurCoin/1909|Indian Head||||N|Y|0|Quarter Eagle||283.95||ebay|2012-07-28||/4-reverse.jpeg	
Liberty Head	Gold Dollar	1851	Philadelphia			thumbnails/UsOurCoin/1851|Liberty Head|AU|58|NGC|N|Y|0|GOLD DOLLAR||227.67||ebay|2012-07-28||/1-obverse.jpeg	
Liberty Head	Gold Dollar	1853	Philadelphia			thumbnails/UsOurCoin/1853|Liberty Head|AU|55|NGC|N|Y|0|GOLD DOLLAR||225.45||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1881	Philadelphia			thumbnails/UsOurCoin/1881|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.99||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1881	Philadelphia			thumbnails/UsOurCoin/1881|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.99||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1882	Philadelphia			thumbnails/UsOurCoin/1882|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||35.45||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1882	Philadelphia			thumbnails/UsOurCoin/1882|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||35.45||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1884	Philadelphia			thumbnails/UsOurCoin/1884|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||50.50||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1884	Philadelphia			thumbnails/UsOurCoin/1884|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||50.50||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1885	Philadelphia			thumbnails/UsOurCoin/1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||37.01|Y|ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1885	Philadelphia			thumbnails/UsOurCoin/1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||37.01|Y|ebay|2012-07-28||/2-obverse.jpeg	
Morgan	Silver and Related Dollar	1885	Philadelphia			thumbnails/UsOurCoin/1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||37.01|Y|ebay|2012-07-28||/3-obverse.jpeg	
Morgan	Silver and Related Dollar	1885	Philadelphia			thumbnails/UsOurCoin/1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||37.01|Y|ebay|2012-07-28||/4-reverse.jpeg	
Morgan	Silver and Related Dollar	1885	Philadelphia			thumbnails/UsOurCoin/1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.30||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1885	Philadelphia			thumbnails/UsOurCoin/1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.30||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1885	New Orleans			thumbnails/UsOurCoin/1885O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||39.80||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1885	New Orleans			thumbnails/UsOurCoin/1885O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||39.80||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1886	Philadelphia			thumbnails/UsOurCoin/1886|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.00||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1886	Philadelphia			thumbnails/UsOurCoin/1886|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.00||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1887	Philadelphia			thumbnails/UsOurCoin/1887|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||46.99||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1887	New Orleans			thumbnails/UsOurCoin/1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||/1-obverse.jpeg	
Morgan	Silver and Related Dollar	1887	New Orleans			thumbnails/UsOurCoin/1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||/2-reverse.jpeg	
Morgan	Silver and Related Dollar	1887	New Orleans			thumbnails/UsOurCoin/1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||/3-obverse.jpeg	
Morgan	Silver and Related Dollar	1887	New Orleans			thumbnails/UsOurCoin/1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||/4-obverse.jpeg	
Morgan	Silver and Related Dollar	1887	New Orleans			thumbnails/UsOurCoin/1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||/5-reverse.jpeg	
Morgan	Silver and Related Dollar	1887	New Orleans			thumbnails/UsOurCoin/1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||/6-reverse.jpeg	
Morgan	Silver and Related Dollar	1902	Philadelphia			thumbnails/UsOurCoin/1902|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||31.11||ebay|2012-07-28||/1-obverse.jpeg	
Peace	Silver and Related Dollar	1922	Philadelphia			thumbnails/UsOurCoin/1922|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||32.37||ebay|2012-07-28||/1-obverse.jpeg	
Peace	Silver and Related Dollar	1922	Philadelphia			thumbnails/UsOurCoin/1922|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||32.37||ebay|2012-07-28||/2-reverse.jpeg	
Peace	Silver and Related Dollar	1922	San Francisco			thumbnails/UsOurCoin/1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||/1-obverse.jpeg	
Peace	Silver and Related Dollar	1922	San Francisco			thumbnails/UsOurCoin/1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||/2-reverse.jpeg	
Peace	Silver and Related Dollar	1922	San Francisco			thumbnails/UsOurCoin/1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||/3-reverse-zoom.jpeg	
Liberty Seated	Half Dollar	1843	Philadelphia	Variety 1 - No Motto Above Eagle		thumbnails/UsOurCoin/1843|Liberty Seated||||Y|N|0|HALF DOLLAR||79.75||ebay|2012-07-28|Variety 1 - No Motto Above Eagle|/2-reverse.jpeg	
Liberty Seated	Half Dollar	1843	Philadelphia	Variety 1 - No Motto Above Eagle		thumbnails/UsOurCoin/1843|Liberty Seated||||Y|N|0|HALF DOLLAR||79.75||ebay|2012-07-28|Variety 1 - No Motto Above Eagle|/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1900	Philadelphia			thumbnails/UsOurCoin/1900|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1900	Philadelphia			thumbnails/UsOurCoin/1900|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1907	New Orleans			thumbnails/UsOurCoin/1907O|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1907	New Orleans			thumbnails/UsOurCoin/1907O|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1909	Philadelphia			thumbnails/UsOurCoin/1909|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1909	Philadelphia			thumbnails/UsOurCoin/1909|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	Philadelphia			thumbnails/UsOurCoin/1915|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||235.50||ebay|2012-07-28||/1-obverse.jpeg	
